Name,Age,M/F,City,State,Country,Official Time,Overall,Gender,Years Ran
"Swanson, William G",32,M,Riverside,CA,USA,2:52:16,712,670,
"Delia, Ben",34,M,Lancaster,PA,USA,2:52:17,713,671,2016
"Payne, Brandon L",26,M,Henryetta,OK,USA,2:52:17,714,672,
"Michell, Robert G",37,M,Glenn Dale,MD,USA,2:52:18,715,673,2016
"Gongora, Enrique Sr.",36,M,Mexico Df,,MEX,2:52:19,716,674,
"Giammar, David",45,M,Columbus,OH,USA,2:52:19,717,675,2016
"Allan, Kirsten N",26,F,Englewood,CO,USA,2:52:20,718,43,
"Pardo, Federico",42,M,Bogota,,COL,2:52:27,719,676,2016
"Finer, Jonathan K",28,M,Arlington,VA,USA,2:52:27,720,677,
"Grasela, Michael J",26,M,New Bedford,MA,USA,2:52:28,721,678,2016
"Landry, Paul",46,M,Golden,CO,USA,2:52:28,722,679,2015:2016
"Mitsumori, Satoshi",35,M,Brooklyn,NY,USA,2:52:29,723,680,2015
"Newhouse, James B",24,M,Boston,MA,USA,2:52:30,724,681,
"Schneider, Martin",47,M,Wiesbaden-Breckenheim,,GER,2:52:30,725,682,
"Inoue, Yusuke",35,M,Tokyo,,JPN,2:52:31,726,683,
"Duran, Carlos",44,M,Weymouth,MA,USA,2:52:32,727,684,
"Davidson, Francois",41,M,Saint-Tite,QC,CAN,2:52:32,728,685,2016
"Rama Gómez, Iván Sr.",35,M,Mislata (valencia),,ESP,2:52:33,729,686,
"Huang, Kuo-Lun",30,M,Yunlin County,,TWN,2:52:33,730,687,
"Vesbach, Steve",29,M,Shoreline,WA,USA,2:52:33,731,688,
"Jansen-Van Rensburg, Mauritz C.",46,M,George,,RSA,2:52:33,732,689,
"Bolha, Jonathan",35,M,Youngstown,OH,USA,2:52:34,733,690,2015:2016
"Castano Gonzalez, Angel U. Sr.",41,M,Medellin,,COL,2:52:35,734,691,
"Mclaughlin, Donald W",40,M,Rochester Hills,MI,USA,2:52:35,735,692,
"Accioly, Marcelo P",39,M,Jaboatao Dos Guararapes Pe,,BRA,2:52:35,736,693,
"Dadabo, Joseph G",28,M,Chicago,IL,USA,2:52:36,737,694,
"Bardeesy, Rami",48,M,Halifax,NS,CAN,2:52:38,738,695,2015:2016
"Lütgenau, Peter",47,M,Gärtringen,,GER,2:52:38,739,696,
"Loveland, Eric C",27,M,Dundee,MI,USA,2:52:44,740,697,
"Caputo, Mike",26,M,Staten Island,NY,USA,2:52:45,741,698,
"Oliver, Matthew",28,M,Santee,CA,USA,2:52:46,742,699,2015
"Howell, Kristian",37,M,Santa Barbara,CA,USA,2:52:47,743,700,2015
"Satterfield, Joseph W.",39,M,Bowdoinham,ME,USA,2:52:47,744,701,
"Smart, Larry",47,M,Tampa,FL,USA,2:52:47,745,702,2015:2016
"Totman, Andrew",36,M,Stallings,NC,USA,2:52:49,746,703,
"Thiriet, Olivier",42,M,Hong Kong,,HKG,2:52:50,747,704,
"Reed, Sam J.",23,M,Durham,NH,USA,2:52:51,748,705,
"Roach, Andrew",39,M,Baltimore,MD,USA,2:52:51,749,706,
"Castro, Sebastian",31,M,San Jose,,CRC,2:52:51,750,707,2015
"Perry, Alexander R",28,M,Albany,NY,USA,2:52:51,751,708,
"Tateishi, Caitlyn Claire",30,F,Washington,DC,USA,2:52:52,752,44,
"Becker, Aaron",26,M,Noblesville,IN,USA,2:52:53,753,709,2016
"Cacciapaglia, Christopher",27,M,Port Orchard,WA,USA,2:52:53,754,710,
"Chapruet, Christopher",25,M,Danvers,MA,USA,2:52:54,755,711,
"Naro, Brandyn",30,M,Manchester,NH,USA,2:52:54,756,712,
"Miklic, Mirko Bogomir",51,M,Ljubljana,,SLO,2:52:55,757,713,2016
"Mylonas, Dimitrios",33,M,Vancouver,BC,CAN,2:52:56,758,714,
"Angus, Mark E",37,M,Toronto,ON,CAN,2:52:56,759,715,
"Buckner, Mark L.",33,M,Salt Lake City,UT,USA,2:52:57,760,716,2016
"Peterson, Michael T",24,M,Cambridge,MA,USA,2:52:57,761,717,2016
"Deasey, Michael Ryan",28,M,Wynnewood,PA,USA,2:52:57,762,718,2016
"Michalski, Steven L",47,M,Redmond,WA,USA,2:52:58,763,719,2016
"Rossi, Timothy M.",24,M,New York,NY,USA,2:52:59,764,720,2016
"Holtz, Zachary",28,M,San Ramon,CA,USA,2:53:00,765,721,
"Scott, Reed C.",22,M,Lake Huntington,NY,USA,2:53:01,766,722,
"Cusson, Michel",49,M,Verdun,QC,CAN,2:53:02,767,723,2015:2016
"Brewer, Kenneth",24,M,Chugiak,AK,USA,2:53:04,768,724,
"Nolan, Alison L",27,F,Indialantic,FL,USA,2:53:04,769,45,
"Valentine, Zach",34,M,Aberdeen Proving Ground,MD,USA,2:53:04,770,725,
"Rutt, Matthew",26,M,Kingston,PA,USA,2:53:04,771,726,
"Desilets, Jordan H.",36,M,Brighton,MI,USA,2:53:04,772,727,
"Mahoney, Kevin J",30,M,Cranford,NJ,USA,2:53:04,773,728,
"Sandoval, Mauricio Sr.",31,M,Bogota,,COL,2:53:05,774,729,
"Kramer, Robert",44,M,Toronto,ON,CAN,2:53:05,775,730,2016
"Yang, Shizhong",35,M,West Hartford,CT,USA,2:53:06,776,731,2015:2016
"Wilhelm, Christophe G.",51,M,Lausanne,,SUI,2:53:08,777,732,
"Arthur, D'Ann E",29,F,Redondo Beach,CA,USA,2:53:08,778,46,
"Silva, Ryan J.",33,M,Medford,MA,USA,2:53:11,779,733,2015:2016
"Impellitteri, Sal",36,M,Oak Creek,WI,USA,2:53:12,780,734,
"Greenwald, Russell S",39,M,Natick,MA,USA,2:53:13,781,735,2016
"O, Loc M",40,M,Williamsburg,PA,USA,2:53:14,782,736,
"Greenham, James D.",40,M,Austin,TX,USA,2:53:14,783,737,
"Mena Solorzano, Diego Sr.",34,M,"Zaragoza, Palmares, Alajuela",,CRC,2:53:17,784,738,
"Gollins, Bryan",26,M,Somerville,MA,USA,2:53:18,785,739,
"Lin, Mason",21,M,Davidson,NC,USA,2:53:20,786,740,
"Takaoka, Masahiro",33,M,Dallas,TX,USA,2:53:21,787,741,2015:2016
"Ohara, Chip",36,M,Auburn,NY,USA,2:53:23,788,742,2015:2016
"Murray, Patrick",45,M,Alexandria,VA,USA,2:53:23,789,743,
"Perry, Tim",33,M,Manchester,NH,USA,2:53:26,790,744,2015:2016
"Wright, Andy",28,M,London,,GBR,2:53:27,791,745,
"Pauker, Semjon",30,M,Berlin,,GER,2:53:29,792,746,
"Consolandi, Paolo Giorgio",39,M,Pessano Con Bornago (mi),,ITA,2:53:29,793,747,
"Fernandez, Nestor",28,M,Santiago,,CHI,2:53:29,794,748,
"Santiago, Andre",36,M,Marica - Rj,,BRA,2:53:30,795,749,
"Phillips, Michael T",33,M,Boston,MA,USA,2:53:31,796,750,2015
"Le Roy, Tyler W",29,M,Plymouth,WI,USA,2:53:31,797,751,
"Howard, Doug",36,M,Oakland,CA,USA,2:53:31,798,752,2015:2016
"Ellis, Ryan",45,M,Irvine,CA,USA,2:53:32,799,753,2015:2016
"Cabral, Manuel",42,M,Laval,QC,CAN,2:53:34,800,754,2015:2016
"Oswald, Sean-Patrick R.",28,M,Somerset,NJ,USA,2:53:34,801,755,
"Cawkwell, Philip B",27,M,Watertown,MA,USA,2:53:35,802,756,
"Anis, Michael",35,M,North Brunswick,NJ,USA,2:53:35,803,757,2015:2016
"Highlander, Andy",29,M,Signal Mountain,TN,USA,2:53:35,804,758,
"Pearson, Gregory",39,M,Washington,DC,USA,2:53:35,805,759,
"Yuska, Tim",36,M,Darien,IL,USA,2:53:38,806,760,
"Lovig, Christy L.",40,F,Kelowna,BC,CAN,2:53:41,807,47,
"Marx, Christian",33,M,Frankfurt,,GER,2:53:41,808,761,
"Gillette, Jake",30,M,Goshen,IN,USA,2:53:42,809,762,
"Casas Herrero, Manuel",38,M,Saldana,,ESP,2:53:43,810,763,
"Ferreira Filho, Guilherme A.",30,M,Sao Paulo,,BRA,2:53:43,811,764,
"Kovalchick, Christopher",33,M,Bedford,MA,USA,2:53:45,812,765,2015:2016
"Medeiros, J Matthew",31,M,Saranac,NY,USA,2:53:46,813,766,2016
"Rankin, Greg",50,M,Garland,TX,USA,2:53:46,814,767,2015:2016
"Williamson, David",49,M,Sutton,,GBR,2:53:46,815,768,
"Madej, Robert",48,M,Toronto,ON,CAN,2:53:48,816,769,2015:2016
"Dowd, Justin",28,M,North Tonawanda,NY,USA,2:53:49,817,770,
"Kiracofe, Drew P",21,M,Brighton,MA,USA,2:53:49,818,771,
"Jizmagian, Greg S",33,M,Seattle,WA,USA,2:53:52,819,772,
"Shields, Andrew J.",51,M,Cambridge,,GBR,2:53:53,820,773,
"Boulay, Pierre",49,M,Sainte-Catherine-De-Hatley,QC,CAN,2:53:53,821,774,2015:2016
"Kawata, Ryohei",36,M,Washington,DC,USA,2:53:54,822,775,
"Prechtel, Jonathan H.",32,M,Ennetbaden,,SUI,2:53:56,823,776,
"Howard, Jason F",26,M,St Louis,MO,USA,2:53:57,824,777,2015
"Gustafsson, Jacob",33,M,Salt Lake City,UT,USA,2:53:58,825,778,
"Piirimae, Partel",44,M,Cambridge,MA,USA,2:53:59,826,779,
"Holder, David",41,M,Bedford,NS,CAN,2:53:59,827,780,
"Qi, Shun",32,M,Jiangsu Province,,CHN,2:54:00,828,781,
"Revenis, Bradley D",31,M,Baltimore,MD,USA,2:54:00,829,782,2015:2016
"Jones, Craig",38,M,Manchester,,GBR,2:54:02,830,783,
"Chantal, Alain",43,M,Pont-Rouge,QC,CAN,2:54:02,831,784,2016
"Tarbell, Kody M.",24,M,Portland,OR,USA,2:54:04,832,785,
"Kenny, Ryan F",37,M,Boston,MA,USA,2:54:04,833,786,
"Borgen, André",29,M,Oslo,,NOR,2:54:04,834,787,
"Postaski, Michael L",35,M,Maplewood,NJ,USA,2:54:07,835,788,2016
"Vargas, Will",42,M,Bogota,,COL,2:54:07,836,789,2016
"Savaria, Mathieu",30,M,Montreal,QC,CAN,2:54:07,837,790,
"O'Neale, Dion",36,M,Auckland,,NZL,2:54:09,838,791,
"Regan, John P.",47,M,Lansdale,PA,USA,2:54:11,839,792,
"Wijeyeratne, Shihan",23,M,Richmond,VA,USA,2:54:12,840,793,
"Gress, Shannon",31,F,Juneau,AK,USA,2:54:13,841,48,
"Arbaugh, Benjamin M.",20,M,Davis,CA,USA,2:54:14,842,794,
"Danko, Laszlo",47,M,Hoboken,NJ,USA,2:54:15,843,795,2016
"Lair, Jessie E",35,F,Grand Rapids,MI,USA,2:54:16,844,49,
"Root, Thomas",30,M,Barrington,IL,USA,2:54:17,845,796,2016
"Bishop, Nathan",36,M,Houston,TX,USA,2:54:17,846,797,
"Corso, Jonathan",48,M,Decatur,GA,USA,2:54:17,847,798,2016
"Inoue, Daichi",36,M,New York,NY,USA,2:54:18,848,799,2016
"Bowen, John A.",28,M,Fox Point,WI,USA,2:54:18,849,800,
"Strasburg, Andrew W",32,M,Ann Arbor,MI,USA,2:54:19,850,801,
"Langerak, Bruce",45,M,Byron Center,MI,USA,2:54:20,851,802,2015
"Hambrock, Christian J",39,M,Hanover,ON,CAN,2:54:20,852,803,2015
"Stewart, Simon",43,M,Edmonton,AB,CAN,2:54:20,853,804,
"Marilly, Mathieu",33,M,Toronto,ON,CAN,2:54:21,854,805,
"Temple, Brian",50,M,Pacific Palisades,CA,USA,2:54:21,855,806,2015:2016
"Kropelnicki, Jesse",38,M,Scituate,MA,USA,2:54:22,856,807,2015:2016
"Lucier, Jeremy",31,M,Chantilly,VA,USA,2:54:22,857,808,
"Cibulka, Jeramia",36,M,Indianapolis,IN,USA,2:54:22,858,809,
"Curley, Matt",50,M,Chicago,IL,USA,2:54:22,859,810,2016
"Sweeney, Derrik W.",25,M,Riverside,IL,USA,2:54:25,860,811,2016
"Nevalainen, Alec",43,M,Juneau,AK,USA,2:54:25,861,812,2016
"Garcia, Mario A.",31,M,Arlington,VA,USA,2:54:25,862,813,
"Martinez Balbuena, Emilio",52,M,Santiago,,DOM,2:54:27,863,814,2015
"Yerka, Christopher A.",36,M,Layton,UT,USA,2:54:27,864,815,
"Jungkans, Chris W.",55,M,Salem,WI,USA,2:54:29,865,816,
"Merkt, Juerg",52,M,Buelach,,SUI,2:54:29,866,817,
"Tydlaska, Shawn",35,M,Burlingame,CA,USA,2:54:32,867,818,2015:2016
"Nieto, Ben",29,M,Philadelphia,PA,USA,2:54:33,868,819,
"Garvey, Thomas G IV",32,M,New York,NY,USA,2:54:34,869,820,2015:2016
"Bilodeau-Genest, Thomas",25,M,Québec,QC,CAN,2:54:35,870,821,
"Duhaime, Spencer",25,M,New York,NY,USA,2:54:37,871,822,2015:2016
"Garrison, Scott D",29,M,Spokane,WA,USA,2:54:37,872,823,
"Ito, Atsushi",31,M,Princeton,NJ,USA,2:54:38,873,824,2015:2016
"Corona Iturriaga, Roberto",38,M,Zapopan,,MEX,2:54:38,874,825,2015:2016
"Bardey, Jonathan A",36,M,New York City,NY,USA,2:54:39,875,826,
"Rosenberg-Wohl, Jacob",24,M,San Francisco,CA,USA,2:54:40,876,827,2015:2016
"Mason, Jonathan R",32,M,Pensacola,FL,USA,2:54:41,877,828,
"Burns, Robert M.",50,M,"Crestwood, NSW",,AUS,2:54:43,878,829,2015
"Rea, Ian",40,M,Jamaica Plain,MA,USA,2:54:44,879,830,2016
"Gamble, Charlie E",29,M,San Diego,CA,USA,2:54:45,880,831,
"Egge, Mark",30,M,Cheyenne,WY,USA,2:54:46,881,832,
"Edora, Felipe T.",48,M,Victoria,BC,CAN,2:54:46,882,833,2015
"Matthews, Martin",40,M,Birmingham,,GBR,2:54:48,883,834,
"Chang, Ching-Tun",31,M,Taoyuan City,,TWN,2:54:48,884,835,
"Sorenson, Erik J",30,M,Pebble Beach,CA,USA,2:54:49,885,836,
"White, Laurent",37,M,Flemington,NJ,USA,2:54:50,886,837,
"Walsh, Sorrell",26,F,London,,GBR,2:54:50,887,50,
"Hoerger, Jacob",24,M,Somerville,MA,USA,2:54:50,888,838,
"Batzel, Dane",39,M,Dallas,TX,USA,2:54:51,889,839,
"Snow, Nick J",25,M,Vancouver,BC,CAN,2:54:51,890,840,
"Lucas, Nigel",37,M,Cork,,IRL,2:54:51,891,841,
"Clark, Christopher",35,M,Anchorage,AK,USA,2:54:52,892,842,
"Rivera, Will",46,M,Elizabethtown,KY,USA,2:54:53,893,843,
"Lonergan, Eric",31,M,Warwick,RI,USA,2:54:54,894,844,
"Lopez, Raul M. Jr.",32,M,Washington,DC,USA,2:54:56,895,845,
"Muskopf, Christopher J.",41,M,Roxbury,MA,USA,2:54:56,896,846,
"Rivas, Jorge A",37,M,Guatemala,,GUA,2:54:56,897,847,2016
"Feldman, William P.",31,M,Greensboro,NC,USA,2:54:56,898,848,
"Hackett, Brian",25,M,Germantown,MD,USA,2:54:57,899,849,
"Prussing, Pablo Alejandro",40,M,Santiago,,CHI,2:54:58,900,850,
"Hunter, Colin C",28,M,Grandville,MI,USA,2:54:58,901,851,
"Davis, Steve T",50,M,Onalaska,WI,USA,2:55:00,902,852,
"Tarm, Toomas",48,M,Harjumaa,,EST,2:55:00,903,853,
"Dunlap, Matthew H.",30,M,Portland,OR,USA,2:55:00,904,854,
"Van Meter, Kathryn M.",29,F,Milford,OH,USA,2:55:01,905,51,2015
"Smith, David R",35,M,London,ON,CAN,2:55:02,906,855,2016
"Iacovone, Dustin",29,M,Reynoldsburg,OH,USA,2:55:03,907,856,
"Gerald, Jean-Philippe",33,M,Boston,MA,USA,2:55:03,908,857,
"Moreira, Alexandre H.",36,M,Vitoria,,BRA,2:55:05,909,858,
"Qin, Zhenning",39,M,Shanghai,,CHN,2:55:06,910,859,
"Middleton, Ryan",29,M,Mechanicsville,VA,USA,2:55:06,911,860,
"Sanderson, Samuel",39,M,Houston,TX,USA,2:55:07,912,861,
"Szymoniak, Blazej",27,M,Chicago,IL,USA,2:55:07,913,862,
"Aubut, Xavier",33,M,Montreal,QC,CAN,2:55:07,914,863,
"Wendel, Nicholas",25,M,Boston,MA,USA,2:55:07,915,864,
"Carvajal Riquelme, Pablo",26,M,Santiago,,CHI,2:55:08,916,865,
"Burgos, Andre C. Sr.",35,M,Recife,,BRA,2:55:10,917,866,
"Ramirez, Felipe",40,M,Mexico,,MEX,2:55:10,918,867,2016
"King, David R.",43,M,Boston,MA,USA,2:55:10,919,868,
"Fennon, Myles",38,M,New York,NY,USA,2:55:11,920,869,2015:2016
"Kennedy, Morgan",29,M,Portland,CT,USA,2:55:11,921,870,2015
"Sprieser, Steven",24,M,Vernon Hills,IL,USA,2:55:11,922,871,2015:2016
"Zompanti, Alessandro",48,M,Fiuggi Fr,,ITA,2:55:12,923,872,
"Baek, James",23,M,Indianapolis,IN,USA,2:55:12,924,873,2016
"Perez, Abel Sr.",30,M,Brooklyn,NY,USA,2:55:12,925,874,
"Li, Yipeng",37,M,Shanghai,,CHN,2:55:13,926,875,
"Garcia, German",38,M,Flint,TX,USA,2:55:14,927,876,
"Grinstead, Tyler J",25,M,Houston,TX,USA,2:55:14,928,877,
"Longo, John",29,M,Arlington,MA,USA,2:55:16,929,878,2015:2016
"Beck, Owen",26,M,Louisville,CO,USA,2:55:17,930,879,
"Schiemann, Chris J",34,M,Middleton,WI,USA,2:55:18,931,880,
"Ford, Ryan",30,M,Middlefield,CT,USA,2:55:18,932,881,
"Blom, Marcel W",33,M,Beamsville,ON,CAN,2:55:19,933,882,
"Carley, Seth A",28,M,Nashville,TN,USA,2:55:20,934,883,
"Morgan, Kevin",27,M,Denver,CO,USA,2:55:21,935,884,
"Delanghe, Sean",31,M,Waterloo,ON,CAN,2:55:21,936,885,
"Decamps, William M.",30,M,Atlanta,GA,USA,2:55:22,937,886,
"Sitarz, Hans",22,M,Birmingham,AL,USA,2:55:22,938,887,
"Dimbleby, Peter J.",42,M,Walsall,,GBR,2:55:23,939,888,
"Versen, William R",25,M,Minneapolis,MN,USA,2:55:24,940,889,
"Cooper, Sheldon M",35,M,Toronto,ON,CAN,2:55:24,941,890,2016
"Brown, Dwayne",39,M,Philadelphia,PA,USA,2:55:24,942,891,
"Lizotte, Megan L.",33,F,San Diego,CA,USA,2:55:26,943,52,
"Hein, Christine L.",42,F,North Yarmouth,ME,USA,2:55:28,944,53,
"Shaw, Michael P.",31,M,Washington,DC,USA,2:55:29,945,892,
"Gil Zaragoza, Pablo Sr.",26,M,Puebla,,MEX,2:55:30,946,893,
"Eng, Greg",28,M,Rancho Palos Verdes,CA,USA,2:55:30,947,894,
"Synofzik, Matthis",37,M,Tuebingen,,GER,2:55:34,948,895,
"Trampe, Travis",44,M,Fort Collins,CO,USA,2:55:34,949,896,2015:2016
"Hoffman, Michael",29,M,Marlborough,MA,USA,2:55:34,950,897,
"Rafael Calderon, Victor M.",40,M,Leganes,,ESP,2:55:34,951,898,
"Deshaies, Eric",43,M,Gatineai,QC,CAN,2:55:36,952,899,
"Becker, Scott",33,M,Medford,OR,USA,2:55:36,953,900,
"Swanson, Erik",44,M,Amherst,NH,USA,2:55:37,954,901,2015:2016
"Royston, J. P. II",39,M,Orlando,FL,USA,2:55:38,955,902,
"Flowerday, Crispin",38,M,San Francisco,CA,USA,2:55:39,956,903,
"Kam, Max",30,M,San Rafael,CA,USA,2:55:39,957,904,2016
"Zamora, Jairo C.",29,M,Bogota,,COL,2:55:39,958,905,
"Luc, Ryan",38,M,London,ON,CAN,2:55:40,959,906,2015:2016
"Yu, Michael",45,M,"Zhubei City, Hsinchu County",,TWN,2:55:40,960,907,2015:2016
"Fan, Alexander",31,M,Woodbury,MN,USA,2:55:40,961,908,2016
"Smith, Kevin J.",32,M,Sutton,,GBR,2:55:41,962,909,
"Husak, Tyler",30,M,Marion,IA,USA,2:55:42,963,910,2015:2016
"Widlowski, Daniel",29,M,Sag Harbor,NY,USA,2:55:44,964,911,2016
"Tian, Jun",25,M,Naperville,IL,USA,2:55:47,965,912,2016
"Schiele, Austin",32,M,Hudson,OH,USA,2:55:48,966,913,
"Mitchell, Dustin T",22,M,Lexington,KY,USA,2:55:48,967,914,
"Ricardi, Joshua",35,M,Covington,WA,USA,2:55:49,968,915,2015
"Agnew, Jeremy",41,M,London,,GBR,2:55:51,969,916,
"Murphy, Timothy A.",45,M,Ronkonkoma,NY,USA,2:55:52,970,917,2016
"Dallner, Olof S",39,M,New York,NY,USA,2:55:52,971,918,
"Hurlbutt, Gretchen G",38,F,Boise,ID,USA,2:55:55,972,54,
"Bel Franquesa, Laura",29,F,Sant Cugat Del Valles,,ESP,2:55:56,973,55,
"Kingston, Hudson",33,M,St. Paul,MN,USA,2:55:56,974,919,
"Chen, Cheng Yen",28,M,Keelung,,TWN,2:55:56,975,920,
"Mcevoy, James R",32,M,Brooklyn,NY,USA,2:55:56,976,921,
"Blowers, James",45,M,Cary,NC,USA,2:55:57,977,922,
"Guthals, Nathaniel",26,M,Overland Park,KS,USA,2:55:57,978,923,2015:2016
"Carbonaro, Jeramie C.",42,M,Port Sydney,ON,CAN,2:55:57,979,924,
"Bybee, Ryan R",40,M,Highland,UT,USA,2:55:58,980,925,
"Choy, Yan Tsun Jeffrey",32,M,Hong Kong,,HKG,2:55:59,981,926,
"Delong, Candace",27,F,Winchester,VA,USA,2:55:59,982,56,
"Bumbulsky, Jim",30,M,Philadelphia,PA,USA,2:56:00,983,927,
"Wong, Ka Ming",36,M,Hong Kong,,HKG,2:56:00,984,928,2016
"Zook, Benjamin",34,M,Gordonville,PA,USA,2:56:01,985,929,
"Kartanowicz, Paul M.",37,M,West Orange,NJ,USA,2:56:01,986,930,
"Bretz, Virgil",44,M,Mt. Kisco,NY,USA,2:56:02,987,931,2015:2016
"Cucuzzella, Mark",50,M,Shepherdstown,WV,USA,2:56:03,988,932,2016
"Carron, John B",46,M,Irvington,NY,USA,2:56:03,989,933,2016
"Rutter, Martin J.",34,M,London,,GBR,2:56:03,990,934,
"Smith, Timothy D",52,M,Carpinteria,CA,USA,2:56:03,991,935,
"Campbell, Coby",25,M,Atlanta,GA,USA,2:56:04,992,936,
"Gavin, Timothy V.",41,M,Weston,MA,USA,2:56:04,993,937,
"Branick, Connor M",23,M,Sioux Falls,SD,USA,2:56:05,994,938,
"Mejia Huerta, Bernardo B.",31,M,Mexico City,,MEX,2:56:05,995,939,
"Larosa, Mark",38,M,North Andover,MA,USA,2:56:06,996,940,2015:2016
"Williamson, Jerry A",43,M,Raleigh,NC,USA,2:56:06,997,941,2015
"Mccue, Daniel T",40,M,Arlington,MA,USA,2:56:06,998,942,
"Larosa, John",35,M,Danbury,CT,USA,2:56:07,999,943,
"Sanchez, Sam R",35,M,Santa Fe,NM,USA,2:56:08,1000,944,
